ID,성별,나이,머리둘레,키,목뒤높이,샅높이,목밑둘레,가슴둘레,젖가슴둘레,젖가슴아래둘레,허리둘레,배둘레,엉덩이둘레,겨드랑둘레,어깨가쪽사이길이,팔길이,등길이,귀구슬사이머리위길이,귀구슬사이너비,귀바퀴뿌리-귀바퀴뿌리뒤직선길이,발직선길이,몸무게
5_4297,남,13,520,1464,1230,670,345,720,665,617,583,623,730,307,348,504,315,368,132,27,221,34
5_4298,남,13,535,1515,1258,684,340,754,718,682,640,677,767,340,376,545,314,375,136,24,226,41
5_4299,남,9,510,1530,1288,725,355,734,687,646,590,656,748,314,365,533,333,380,125,20,227,38.5
5_4300,남,26,530,1334,1102,587,330,744,678,643,620,685,750,304,355,435,275,392,133,19,213,35
5_4301,남,8,565,1687,1434,740,410,1046,1044,994,877,956,1034,438,432,597,403,393,146,24,262,77.5
5_4302,여,39,500,1285,1083,590,300,643,605,570,558,575,675,268,305,432,290,355,127,19,207,27
5_4303,여,9,505,1255,1036,562,330,674,642,613,576,595,683,280,325,428,255,365,130,20,199,27.5
5_4304,여,9,505,1316,1102,584,315,650,632,602,555,602,702,278,330,425,300,372,120,18,199,29
5_4305,여,10,500,1292,1088,580,330,674,644,593,578,600,733,282,344,435,284,344,123,20,199,30
5_4306,여,13,530,1460,1240,660,370,753,762,666,623,662,800,323,382,510,335,365,137,22,218,39
5_4307,여,15,530,1468,1254,663,365,870,924,796,778,820,930,360,370,515,343,364,130,18,204,53.5
5_4308,남,38,560,1732,1475,742,425,1012,1002,960,970,994,990,450,418,595,400,392,152,21,257,78.5
5_4309,남,71,540,1524,1290,640,395,868,844,785,757,770,855,390,415,510,360,382,140,21,218,51
5_4310,여,50,535,1553,1325,710,360,808,800,738,763,900,858,359,375,535,394,367,141,21,240,49
5_4311,여,70,530,1452,1250,645,360,867,905,798,765,860,893,390,354,545,376,350,128,23,228,51.5
5_4312,여,74,535,1496,1266,653,355,804,882,732,805,875,853,370,325,515,385,354,123,22,219,50
5_4313,여,68,540,1522,1308,700,415,911,997,815,910,955,884,380,385,565,396,360,138,21,231,55.5
5_4314,여,68,535,1530,1320,664,435,948,967,862,921,927,953,425,378,545,415,370,142,21,237,66
5_4315,여,68,525,1450,1238,647,365,834,866,766,812,908,888,380,363,537,375,365,138,25,226,48
5_4316,여,65,530,1518,1288,665,365,907,998,835,860,955,944,420,327,555,375,364,132,20,227,60
5_4317,여,75,550,1483,1266,656,375,900,942,815,836,996,932,413,365,548,375,370,130,25,215,57
5_4318,여,70,565,1468,1243,642,395,915,978,865,895,960,920,402,365,540,366,376,141,22,223,57
5_4319,여,72,520,1421,1217,628,345,804,837,704,723,804,802,365,348,495,375,345,128,22,200,38
5_4320,여,74,550,1470,1246,651,375,916,1008,884,935,996,915,405,325,543,366,375,134,27,224,58.5
5_4321,남,72,550,1614,1383,677,380,827,832,784,731,770,868,383,373,567,417,365,140,22,242,52
5_4322,남,66,565,1616,1387,690,420,929,894,864,833,864,917,424,400,565,420,372,146,26,250,62
5_4323,남,71,550,1590,1350,696,410,962,973,936,880,924,954,437,380,572,395,386,142,20,240,66.5
5_4324,남,71,535,1530,1303,676,380,848,838,816,761,782,831,385,335,555,364,363,136,22,235,48.5
5_4325,여,75,535,1508,1285,653,390,917,945,837,825,953,917,404,358,532,393,362,132,27,236,55
5_4326,여,72,520,1487,1270,647,385,903,972,838,901,950,898,410,360,542,393,373,131,23,231,56.5
5_4327,여,74,530,1455,1232,657,370,838,903,803,800,912,890,373,343,548,355,364,133,22,230,49.5
5_4328,남,64,530,1688,1450,736,400,920,887,745,800,832,860,428,398,605,415,372,137,28,247,59.5
5_4329,남,75,555,1711,1487,730,415,940,934,893,928,932,930,447,390,603,445,350,136,22,247,69.5
5_4330,여,66,530,1432,1218,635,370,818,856,743,755,870,848,357,337,515,376,365,135,24,213,49
5_4331,여,72,545,1402,1177,613,365,866,943,820,860,892,880,377,335,494,366,372,134,23,204,49
5_4332,여,72,535,1507,1274,661,360,882,937,793,823,919,898,384,350,532,373,355,136,20,202,53
5_4333,여,72,535,1453,1240,630,385,922,997,847,852,965,978,424,395,517,372,355,137,17,209,60
5_4334,여,72,575,1568,1346,704,420,990,1058,924,1006,1042,950,433,385,575,395,375,134,18,228,69.5
5_4335,여,75,535,1557,1324,662,380,867,903,797,806,901,904,375,370,534,366,365,138,26,213,55.5
5_4336,여,68,545,1528,1301,674,410,990,1053,908,992,1029,1012,401,402,545,370,370,140,20,219,70.5
5_4337,여,72,545,1518,1299,660,385,857,922,824,791,964,920,374,357,535,385,367,142,29,210,56.5
5_4338,여,74,505,1481,1256,645,345,740,755,664,648,760,800,347,348,513,362,347,135,25,205,39
5_4339,여,67,540,1528,1294,672,380,792,850,729,730,834,833,368,362,544,390,353,130,25,221,49
5_4340,여,68,540,1555,1315,667,400,963,1016,861,858,1012,974,427,365,545,372,357,141,28,216,68
5_4341,여,75,535,1502,1282,667,370,897,974,804,832,980,933,420,355,565,375,360,137,23,217,59
5_4342,여,71,540,1501,1264,664,485,894,963,815,924,1005,974,396,348,539,365,363,140,24,228,57.5
5_4343,여,66,505,1482,1277,666,360,843,888,780,772,870,820,385,343,525,385,330,127,22,207,47
5_4344,여,73,545,1502,1285,651,415,978,1124,983,1090,1162,1058,460,362,550,422,345,146,24,205,74.5
5_4345,여,71,530,1560,1328,695,410,987,1040,910,1007,1032,1012,446,369,573,413,355,139,22,230,74.5
5_4346,여,70,520,1535,1316,670,385,912,982,828,848,990,957,420,367,565,387,362,135,20,222,59.5
5_4347,여,72,520,1427,1211,601,390,858,967,835,915,975,898,390,326,497,363,365,134,24,207,53
5_4348,여,71,545,1585,1361,728,400,982,1100,920,990,1117,991,445,369,573,404,360,144,21,230,72.5
5_4349,여,71,540,1578,1355,698,380,971,1073,928,980,1080,1035,408,355,571,390,384,134,17,235,74.5
5_4350,여,16,525,1514,1274,660,355,798,793,655,638,780,910,348,340,500,325,360,134,15,219,47
5_4351,여,13,500,1420,1203,652,335,652,645,548,513,567,715,285,345,470,295,357,122,18,198,28.5
5_4352,여,17,530,1565,1327,705,375,880,888,748,728,795,940,355,375,535,355,377,135,22,222,55.5
5_4353,남,10,560,1648,1378,720,380,828,775,720,640,665,845,370,388,552,355,405,147,25,227,48
5_4354,남,13,515,1398,1163,620,325,655,620,598,577,622,700,288,330,457,305,396,133,20,206,30
5_4355,남,10,520,1384,1162,675,290,692,666,633,570,568,688,297,323,480,287,354,125,23,222,29
5_4356,남,10,510,1230,1000,510,305,617,614,577,550,555,627,268,284,408,254,378,123,20,192,22.5
5_4357,남,10,510,1340,1114,592,320,700,672,612,602,630,725,300,345,445,280,380,127,19,217,31.5
5_4358,남,18,510,1283,1057,557,315,670,648,598,582,595,677,288,322,423,275,380,128,16,193,27.5
5_4359,남,19,570,1777,1530,817,440,934,900,840,757,770,940,417,415,635,423,378,142,18,253,66.5
5_4360,남,19,570,1665,1410,717,410,877,806,742,697,725,920,408,445,585,385,385,143,22,250,61.5
5_4361,남,19,580,1690,1433,736,390,850,820,787,677,702,905,383,405,578,405,387,139,21,259,57
5_4362,남,19,570,1805,1546,827,395,878,853,793,697,952,823,393,425,615,422,395,133,20,251,62
5_4363,여,18,580,1604,1360,718,360,843,833,720,680,779,978,395,355,570,345,392,138,20,229,57.5
5_4364,여,19,540,1600,1367,733,370,818,805,694,677,770,918,368,395,565,375,362,138,22,227,52
5_4365,여,37,560,1648,1403,727,385,865,937,792,752,905,930,405,365,555,373,367,139,22,232,59.5
5_4366,여,37,560,1609,1364,718,375,938,950,825,795,920,924,402,405,545,365,387,139,18,240,62
5_4367,여,33,505,1583,1340,723,375,855,847,740,697,780,890,375,378,548,362,380,131,22,224,53.5
5_4368,여,9,510,1328,1107,597,335,706,683,634,630,648,745,294,327,440,268,360,125,18,208,32.5
5_4369,남,31,565,1257,1032,546,305,607,600,566,535,557,637,266,312,415,277,370,122,21,194,23.5
5_4370,남,32,565,1774,1527,782,435,1020,1000,950,884,888,1017,443,465,590,413,393,144,18,261,79
5_4371,남,32,560,1803,1550,804,430,1025,1010,913,870,875,1000,442,425,595,430,405,145,22,260,75.5
5_4372,여,8,560,1563,1325,704,353,874,890,737,741,915,944,369,365,515,356,400,142,17,228,58.5
5_4373,남,19,555,1670,1420,760,385,840,820,778,698,750,853,378,394,580,387,374,137,18,251,52
5_4374,여,19,530,1641,1390,737,350,750,760,685,603,664,864,317,388,555,395,370,133,19,233,44.5
5_4375,남,35,565,1750,1507,774,470,1079,1030,947,878,902,995,455,435,605,428,385,143,23,257,81
5_4376,남,52,560,1760,1500,796,425,938,925,850,830,857,958,440,412,602,415,373,140,19,253,71.5
5_4377,남,46,585,1670,1420,730,400,977,967,922,868,880,954,420,427,600,420,390,148,22,262,70
