cs_url,shop_name,shop_tag
https://www.brandi.co.kr/shop/button9ine/cscenter,버튼나인,#20대중반#페미닌#마켓
https://www.brandi.co.kr/shop/modiday/cscenter,모디데이,#20대중반#페미닌#마켓
https://www.brandi.co.kr/shop/byyoung/cscenter,바이영,#20대중반#페미닌#쇼핑몰
https://www.brandi.co.kr/shop/shubbeum/cscenter,슈쁨,#20대초반#러블리#쇼핑몰
https://www.brandi.co.kr/shop/ongoingmoment/cscenter,온고잉모멘트,#20대초반#심플베이직#쇼핑몰
https://www.brandi.co.kr/shop/blanchet/cscenter,블랑쉐,#20대초반#페미닌#마켓
https://www.brandi.co.kr/shop/rinajay/cscenter,리나제이,#20대중반#심플베이직#마켓
https://www.brandi.co.kr/shop/bitda/cscenter,빛다,#20대초반#심플베이직#쇼핑몰
https://www.brandi.co.kr/shop/aubezest/cscenter,오브제스트,#20대후반#페미닌#쇼핑몰
https://www.brandi.co.kr/shop/graystudio/cscenter,그레이스튜디오,#20대중반#심플베이직#로드샵
https://www.brandi.co.kr/shop/kongstyle/cscenter,콩스타일,#20대후반#페미닌#쇼핑몰
https://www.brandi.co.kr/shop/undervi/cscenter,언더비,#20대초반#심플베이직#쇼핑몰
https://www.brandi.co.kr/shop/cocoanswer/cscenter,코코엔써,#20대중반#섹시글램#마켓
https://www.brandi.co.kr/shop/maingrove/cscenter,메인그로브,#20대중반#심플베이직#쇼핑몰
https://www.brandi.co.kr/shop/moreday/cscenter,모어데이,#20대중반#심플베이직#쇼핑몰
https://www.brandi.co.kr/shop/lingerinmood/cscenter,링거인무드,#20대후반#심플베이직#마켓
https://www.brandi.co.kr/shop/newwavestore/cscenter,뉴웨이브스토어,#20대초반#심플베이직#쇼핑몰
https://www.brandi.co.kr/shop/marilove/cscenter,마리러브,#20대후반#페미닌#로드샵
https://www.brandi.co.kr/shop/sosol/cscenter,소솔,#20대초반#심플베이직#마켓
https://www.brandi.co.kr/shop/beanybeans/cscenter,비니빈스,#20대중반#캐주얼#마켓
https://www.brandi.co.kr/shop/marinoblanc/cscenter,마리노블랑,#20대중반#페미닌#쇼핑몰
https://www.brandi.co.kr/shop/loveapparel/cscenter,러브어패럴,#20대중반#캐주얼#쇼핑몰
https://www.brandi.co.kr/shop/loveitmore/cscenter,러브잇모어,#20대중반#심플베이직#쇼핑몰
https://www.brandi.co.kr/shop/paknamae/cscenter,박남매,#20대초반#심플베이직#쇼핑몰
https://www.brandi.co.kr/shop/lifelab/cscenter,라이프랩,#20대중반#페미닌#로드샵
https://www.brandi.co.kr/shop/dayel/cscenter,데이엘,#20대중반#페미닌#쇼핑몰
https://www.brandi.co.kr/shop/imcomely/cscenter,아임코멜리,#20대중반#심플베이직#쇼핑몰
https://www.brandi.co.kr/shop/heartshooter/cscenter,하트슈터,#20대초반#심플베이직#쇼핑몰
https://www.brandi.co.kr/shop/blackdelight/cscenter,블랙딜라잇,#20대후반#심플베이직#쇼핑몰
https://www.brandi.co.kr/shop/blingland/cscenter,블링랜드,#20대중반#러블리#마켓
https://www.brandi.co.kr/shop/ontherise/cscenter,온더라이즈,#20대중반#심플베이직#쇼핑몰
https://www.brandi.co.kr/shop/mumoon/cscenter,머문,#20대중반#심플베이직#마켓
https://www.brandi.co.kr/shop/deepbrow/cscenter,딥브로우,#20대중반#심플베이직#쇼핑몰
https://www.brandi.co.kr/shop/cloudmarket/cscenter,구름마켓,#20대초반#캐주얼#마켓
https://www.brandi.co.kr/shop/seoharoom/cscenter,서하룸,#20대중반#심플베이직#마켓
https://www.brandi.co.kr/shop/imerry/cscenter,아이메리,#20대중반#페미닌#쇼핑몰
https://www.brandi.co.kr/shop/simpley/cscenter,심플와이,#20대초반#심플베이직#쇼핑몰
https://www.brandi.co.kr/shop/hotping/cscenter,핫핑,#20대초반#캐주얼#쇼핑몰
https://www.brandi.co.kr/shop/jellpe/cscenter,제이엘프,#20대중반#심플베이직#쇼핑몰
https://www.brandi.co.kr/shop/cestsibon/cscenter,세시봉,#20대중반#심플베이직#쇼핑몰
https://www.brandi.co.kr/shop/summernineteen/cscenter,썸머나인틴,#20대중반#캐주얼#쇼핑몰
https://www.brandi.co.kr/shop/deerwoods/cscenter,디어우즈,#20대중반#심플베이직#쇼핑몰
https://www.brandi.co.kr/shop/creamcheese/cscenter,크림치즈,#20대초반#러블리#마켓
https://www.brandi.co.kr/shop/iami/cscenter,아이엠아이,#20대후반#심플베이직#쇼핑몰
https://www.brandi.co.kr/shop/mauvecereal/cscenter,모브시리얼,#20대중반#페미닌#마켓
https://www.brandi.co.kr/shop/fluff/cscenter,플러프,#20대중반#심플베이직#쇼핑몰
https://www.brandi.co.kr/shop/ondayon/cscenter,온데이온,#20대초반#캐주얼#쇼핑몰
https://www.brandi.co.kr/shop/uptoyou/cscenter,업투유,#20대중반#심플베이직#마켓
https://www.brandi.co.kr/shop/thinkabout/cscenter,띵크어바웃,#20대중반#심플베이직#쇼핑몰
https://www.brandi.co.kr/shop/same2u/cscenter,세임투유,#20대중반#심플베이직#마켓
https://www.brandi.co.kr/shop/merrishop/cscenter,메리샵,#20대초반#러블리#쇼핑몰
https://www.brandi.co.kr/shop/honest/cscenter,어니스트,#20대후반#페미닌#쇼핑몰
https://www.brandi.co.kr/shop/diffu/cscenter,디프유,#20대중반#캐주얼#마켓
https://www.brandi.co.kr/shop/mondayblossom/cscenter,먼데이블러썸,#20대후반#페미닌#마켓
