youtube_id,comment,like_num
바스테트,"올 여름 해변룩으로 참고할 만한 의상들이나 소품, 악세사리들 꽤 되겠네요. ㅎ﻿",1개
강지원,사배님은 뭘 입어도 예쁘심ㅠㅠ❤﻿,1개
shownu,아니 몸매 무슨일이야..;; 허벅지얇은거 진짜 핵부럽ㅜㅜ 예뻐여♡﻿,0개
Audrey오드리TV,너무이뻐요 사배언니❤️❤️❤️﻿,1개
옹냐,이 언니...진짜 완벽하다...❤️﻿,1개
9On9yue,Song name????﻿,1개
DAWOOMJUNG,The quality of this video is so good!﻿,0개
문옐Yellow,꺅 울 슈스언니다😍😍😍﻿,1개
김지현,너무 이뻐요ㅠㅠ! Look9 saloni 옷 이름 알 수 있을까요~?! 저도 사배언니처럼 입고 일본가고싶어요!!﻿,0개
C,세에상에.... 언니의 영상은 매번이 레전드지만 감히 이걸 레전드오브레전드라고 말하고 싶어요...﻿,0개
윰윰,Look2 자막 black spangle로 들어갔어요ㅠㅠ 나중에 보고 속상하실 보물팀 사배님 생각하니 마상😢😢﻿,1개
수신거부,와 진짜 저 언니영상엔 댓글 처음달아보는데요 진짜 너무 이뻐요..﻿,1개
,사배님 너무 예뻐요! 혹시 기본적으로 항상 착용하시는 피어싱들 정보도 알려주실 수 있나요? 궁금했어요!﻿,0개
jylee,"싸뢍해요오오오오 
ㅡ꼼화아가씨가ㅡ﻿",1개
JoyOh,4분 즈음에 코코넛 드실 때 쓴 썬글라스 뭔 지 알 수 있을까요?﻿,0개
챈쓰,진짜 4분10초가 심쿵유발.. 진짜 언니를 알차게 담았네요❤️﻿,1개
미지,나의 알흠다운 여왕ㅠㅠㅠㅠ 여신 그 자체ㅠㅠㅠㅠㅠㅠ 당신 만을 살 앙 해ㅠㅠㅠ 영원히ㅠㅠㅠㅠㅠ﻿,0개
완두콩,어멈머 인스타에 올리고 영상 바로 올릴 줄은 몰랐네용 넘모 예뻐요ㅜㅜ﻿,1개
minimin,오예오예❤룩북이라니이😍😍😍﻿,1개
깝지니,언닝 셤기간 메이크업 올려쥬시면 안대나용?﻿,0개
안서영,와 사배언니 뷰위기 끝장난다ㅠㅜㅠ웬만한 모델 저리가라이뮤ㅠㅠㅠ패션에 따라 분위기 바뀌는 것도 넘 멋있어요❤﻿,0개
서울,자라 신발 발 안아프신가요ㅠ 이쁜게 저렇게 많다니.. 전 몇번 사보고 발아파서 못신겠던데﻿,0개
배고파야,"으앙유ㅠㅠ언니 모낭염때문에 고생 중 인데ㅠㅠㅠ
뭐가 좋을까요﻿",0개
